,date,calendar_code,request_count,site_count,max_temp,min_temp,precipitation,events
0,2014-09-01,0.0,165.0,6,30.6,22.8,0.0,Rain
1,2014-09-02,1.0,138.0,7,32.8,22.8,15.5,Rain-Thunderstorm
2,2014-09-03,1.0,127.0,7,29.4,18.3,0.0,None
3,2014-09-04,1.0,174.0,7,29.4,17.2,0.0,None
4,2014-09-05,1.0,196.0,7,30.6,21.7,0.0,Fog
5,2014-09-06,1.0,314.0,7,32.8,22.2,9.9,Rain-Thunderstorm
6,2014-09-07,1.0,156.0,7,27.2,17.8,0.0,None
7,2014-09-08,1.0,150.0,7,23.3,17.8,0.0,None
8,2014-09-09,1.0,137.0,7,24.4,20.6,0.0,None
9,2014-09-10,1.0,156.0,7,26.7,17.8,0.0,None
10,2014-09-11,1.0,135.0,7,30.0,20.6,0.0,None
11,2014-09-12,1.0,187.0,7,24.4,15.6,0.0,None
12,2014-09-13,1.0,342.0,7,21.1,12.8,11.7,Rain
13,2014-09-14,1.0,202.0,7,20.6,9.4,0.0,None
14,2014-09-15,1.0,141.0,7,22.8,8.3,0.0,None
15,2014-09-16,1.0,101.0,7,23.9,13.3,2.8,Rain
16,2014-09-17,1.0,171.0,7,23.3,11.7,0.0,None
17,2014-09-18,1.0,168.0,7,22.2,10.6,0.0,None
18,2014-09-19,1.0,222.0,7,21.7,12.2,0.0,None
19,2014-09-20,1.0,265.0,6,25.6,14.4,0.0,None
20,2014-09-21,1.0,213.0,7,26.7,16.1,0.0,None
21,2014-09-22,1.0,150.0,7,22.2,10.0,0.0,None
22,2014-09-23,1.0,154.0,8,21.1,6.1,0.0,None
23,2014-09-24,1.0,154.0,7,22.8,10.0,2.8,Rain
24,2014-09-25,1.0,203.0,7,17.8,13.9,26.9,Rain
25,2014-09-26,1.0,216.0,7,25.6,11.1,0.0,None
26,2014-09-27,1.0,267.0,7,28.3,11.7,0.0,None
27,2014-09-28,1.0,246.0,6,27.2,13.3,0.0,None
28,2014-09-29,1.0,179.0,8,22.8,15.6,2.3,Rain
29,2014-09-30,1.0,143.0,8,25.0,17.2,0.3,Rain
30,2014-11-01,1.0,353.0,11,10.6,6.7,16.8,Rain
31,2014-11-02,1.0,236.0,9,10.0,3.3,0.0,Rain
32,2014-11-03,1.0,220.0,11,15.0,3.3,0.0,None
33,2014-11-04,0.0,234.0,11,21.7,7.2,0.0,None
34,2014-11-05,1.0,222.0,11,20.0,8.3,0.3,Rain
35,2014-11-06,1.0,190.0,10,13.9,8.9,15.0,Rain
36,2014-11-07,1.0,283.0,10,12.8,2.2,0.0,None
37,2014-11-08,1.0,268.0,10,10.0,-1.1,0.0,None
38,2014-11-09,1.0,223.0,10,14.4,3.3,0.0,None
39,2014-11-10,1.0,172.0,10,15.6,0.6,0.0,None
40,2014-11-11,1.0,183.0,10,18.9,3.3,0.0,None
41,2014-11-12,1.0,252.0,11,20.0,4.4,0.3,Fog-Rain
42,2014-11-13,1.0,225.0,11,7.8,1.1,3.8,Rain-Snow
43,2014-11-14,1.0,270.0,12,6.1,0.0,0.0,None
44,2014-11-15,1.0,322.0,11,6.1,-2.8,0.0,None
45,2014-11-16,1.0,304.0,10,6.7,-2.8,1.8,Rain
46,2014-11-17,1.0,281.0,12,10.0,5.0,31.2,Rain
47,2014-11-18,1.0,271.0,11,6.1,-5.0,0.0,None
48,2014-11-19,1.0,323.0,12,0.6,-7.2,0.0,None
49,2014-11-20,1.0,258.0,12,10.0,-1.1,0.0,None
50,2014-11-21,1.0,331.0,12,2.8,-3.3,0.0,None
51,2014-11-22,1.0,339.0,11,7.8,-6.7,0.0,None
52,2014-11-23,1.0,290.0,10,12.8,1.7,0.0,None
53,2014-11-24,1.0,270.0,12,22.2,12.8,9.1,Rain
54,2014-11-25,1.0,202.0,12,20.0,6.7,0.0,None
55,2014-11-26,0.0,137.0,9,8.9,1.1,28.4,Rain-Snow
56,2014-11-27,0.0,0.0,0,5.6,-1.1,0.0,None
57,2014-11-28,0.0,82.0,6,5.0,-2.8,0.0,None
58,2014-11-29,1.0,128.0,9,6.1,-4.4,0.0,None
59,2014-11-30,1.0,264.0,10,15.6,4.4,0.0,None
60,2014-12-01,1.0,268.0,12,18.3,5.6,3.6,Rain
61,2014-12-02,1.0,344.0,12,5.6,1.7,9.9,Rain
62,2014-12-03,1.0,383.0,12,8.3,2.8,1.3,Fog-Rain
63,2014-12-04,1.0,290.0,12,7.2,-1.7,0.0,None
64,2014-12-05,1.0,353.0,11,6.1,2.8,1.0,Rain
65,2014-12-06,1.0,454.0,11,9.4,5.6,18.8,Rain
66,2014-12-07,1.0,376.0,11,8.3,0.6,0.3,Rain
67,2014-12-08,1.0,371.0,12,2.8,-2.2,0.0,None
68,2014-12-09,1.0,357.0,12,7.8,2.8,8.6,Rain
69,2014-12-10,1.0,405.0,12,6.7,1.7,0.0,Rain-Snow
70,2014-12-11,1.0,324.0,10,3.9,0.0,0.8,Snow
71,2014-12-12,1.0,287.0,11,4.4,0.6,0.0,None
72,2014-12-13,0.0,244.0,11,5.6,0.6,0.0,None
73,2014-12-14,0.0,221.0,9,8.3,0.0,0.0,None
74,2014-12-15,0.0,184.0,11,8.9,0.6,0.0,None
75,2014-12-16,0.0,230.0,11,9.4,-1.1,2.5,Rain
76,2014-12-17,0.0,195.0,11,12.2,2.2,0.0,None
77,2014-12-18,0.0,191.0,11,5.6,1.7,0.0,None
78,2014-12-19,0.0,238.0,11,6.1,-2.8,0.0,None
79,2014-12-20,0.0,181.0,10,2.8,-2.2,0.0,None
80,2014-12-21,0.0,166.0,10,5.0,-3.9,0.0,None
81,2014-12-22,0.0,133.0,10,6.7,-5.6,1.3,Rain
82,2014-12-23,0.0,175.0,10,11.1,6.7,1.8,Fog-Rain
83,2014-12-24,0.0,27.0,6,18.3,8.3,24.1,Fog-Rain
84,2014-12-25,0.0,0.0,0,18.3,3.9,1.0,Rain
85,2014-12-26,0.0,97.0,9,10.6,-0.6,0.0,None
86,2014-12-27,0.0,138.0,10,13.3,-1.1,0.0,None
87,2014-12-28,0.0,160.0,10,13.9,1.7,1.5,Rain
88,2014-12-29,0.0,135.0,11,8.3,1.1,0.0,None
89,2014-12-30,0.0,172.0,11,3.9,-3.3,0.0,None
90,2014-12-31,0.0,184.0,10,1.1,-6.7,0.0,None
91,2015-01-01,0.0,151.0,7,5.6,-5.0,0.0,None
92,2015-01-02,0.0,182.0,9,6.1,-2.8,0.0,None
93,2015-01-03,0.0,223.0,10,6.1,-4.4,14.5,Rain
94,2015-01-04,0.0,195.0,11,16.7,5.0,8.4,Fog-Rain
95,2015-01-05,0.0,180.0,12,9.4,-4.4,0.0,None
96,2015-01-06,0.0,213.0,12,-3.3,-10.0,3.8,Fog-Snow
97,2015-01-07,0.0,237.0,12,-4.4,-11.1,0.0,None
98,2015-01-08,0.0,214.0,11,-6.7,-13.3,0.0,None
99,2015-01-09,0.0,293.0,11,2.2,-6.7,0.3,Snow
100,2015-01-10,0.0,276.0,12,-5.0,-11.7,0.0,None
101,2015-01-11,0.0,281.0,10,5.0,-11.7,0.0,None
102,2015-01-12,0.0,232.0,12,3.3,0.6,18.0,Rain
103,2015-01-13,0.0,212.0,13,3.3,-5.0,0.0,None
104,2015-01-14,0.0,237.0,13,0.6,-6.1,0.0,None
105,2015-01-15,0.0,214.0,13,2.8,-2.8,0.0,None
106,2015-01-16,0.0,304.0,13,7.2,-4.4,0.0,None
107,2015-01-17,0.0,327.0,13,0.0,-8.3,0.0,None
108,2015-01-18,0.0,343.0,12,6.1,-2.8,42.4,Rain
109,2015-01-19,0.0,229.0,15,7.2,-1.1,0.0,None
110,2015-01-20,0.0,219.0,16,7.8,-2.8,0.0,None
111,2015-01-21,0.0,321.0,16,1.1,-3.9,2.0,Fog-Snow
112,2015-01-22,0.0,257.0,15,5.0,-2.2,0.3,Snow
113,2015-01-23,0.0,322.0,15,5.0,-3.9,5.8,Rain-Snow
114,2015-01-24,0.0,329.0,15,3.3,0.6,16.5,Rain
115,2015-01-25,0.0,265.0,14,9.4,0.0,0.0,Rain
116,2015-01-26,0.0,258.0,14,1.7,-2.2,1.0,Snow
117,2015-01-27,0.0,266.0,16,1.1,-5.6,0.0,None
118,2015-01-28,0.0,267.0,16,1.1,-7.2,0.0,None
119,2015-01-29,0.0,247.0,15,1.1,-10.0,0.0,Snow
120,2015-01-30,0.0,404.0,15,5.6,-6.7,0.0,Snow
121,2015-01-31,0.0,397.0,15,-1.7,-10.0,0.0,None
122,2015-02-01,0.0,321.0,14,5.0,-7.2,1.5,Snow
123,2015-02-02,0.0,268.0,15,5.0,-5.0,20.1,Rain
124,2015-02-03,0.0,235.0,16,-0.6,-7.2,0.0,None
125,2015-02-04,0.0,327.0,16,8.9,-5.0,0.0,None
126,2015-02-05,0.0,283.0,16,4.4,-8.9,0.0,Snow
127,2015-02-06,0.0,406.0,16,0.0,-11.1,0.0,None
128,2015-02-07,0.0,410.0,15,6.7,-8.3,0.0,None
129,2015-02-08,0.0,365.0,16,11.7,-0.6,0.0,None
130,2015-02-09,1.0,305.0,16,3.3,-1.7,0.3,Rain-Snow
131,2015-02-10,1.0,257.0,16,6.1,-2.2,0.0,None
132,2015-02-11,1.0,309.0,17,4.4,-3.9,0.0,None
133,2015-02-12,1.0,318.0,16,5.0,-7.8,0.0,None
134,2015-02-13,1.0,533.0,17,-3.9,-12.2,0.0,None
135,2015-02-14,1.0,531.0,17,0.0,-8.9,3.3,Fog-Snow
136,2015-02-15,1.0,593.0,16,-8.9,-13.9,0.0,Snow
137,2015-02-16,1.0,405.0,15,-8.9,-16.7,0.8,Snow
138,2015-02-17,1.0,423.0,16,-3.9,-10.6,5.6,Snow
139,2015-02-18,1.0,377.0,17,-1.1,-15.0,0.0,Snow
140,2015-02-19,1.0,391.0,17,-6.1,-14.4,0.0,None
141,2015-02-20,1.0,556.0,16,-7.8,-16.7,0.0,None
142,2015-02-21,1.0,210.0,15,0.6,-16.1,17.0,Fog-Rain-Snow
143,2015-02-22,1.0,473.0,15,6.1,0.0,5.8,Rain
144,2015-02-23,1.0,327.0,16,2.2,-10.6,0.0,None
145,2015-02-24,1.0,395.0,17,-5.0,-14.4,0.0,None
146,2015-02-25,1.0,398.0,16,3.3,-11.7,0.0,None
147,2015-02-26,1.0,378.0,15,0.6,-3.9,0.3,Snow
148,2015-02-27,1.0,556.0,16,-1.7,-6.7,0.3,Snow
149,2015-02-28,1.0,570.0,14,-0.6,-10.0,0.0,None
150,2015-03-01,1.0,615.0,16,0.0,-8.3,13.7,Rain-Snow
151,2015-03-02,1.0,369.0,16,3.3,-2.8,0.0,None
0,2014-10-01,1.0,,8,24.4,15.0,0.0,None
1,2014-10-02,1.0,,8,21.1,12.8,0.0,None
2,2014-10-03,1.0,,8,22.2,12.2,2.8,Rain
3,2014-10-04,1.0,,7,21.7,7.2,10.7,Rain
4,2014-10-05,1.0,,8,16.7,3.9,0.0,None
5,2014-10-06,1.0,,9,22.8,5.0,0.0,None
6,2014-10-07,1.0,,9,21.7,16.7,9.1,Rain
7,2014-10-08,1.0,,9,23.9,12.8,0.0,Rain
8,2014-10-09,1.0,,8,21.1,9.4,0.0,None
9,2014-10-10,1.0,,8,16.1,10.0,0.0,Rain
10,2014-10-11,1.0,,8,13.3,10.0,10.9,Rain
11,2014-10-12,1.0,,8,17.8,6.7,0.0,None
12,2014-10-13,1.0,,9,18.3,13.9,2.0,Rain
13,2014-10-14,1.0,,9,25.6,17.8,0.0,None
14,2014-10-15,1.0,,9,23.9,20.0,9.7,Rain
15,2014-10-16,1.0,,8,21.1,14.4,10.4,Rain
16,2014-10-17,1.0,,8,21.7,12.8,0.0,None
17,2014-10-18,1.0,,8,22.8,10.6,0.0,None
18,2014-10-19,1.0,,7,13.3,3.9,0.0,None
19,2014-10-20,1.0,,9,17.2,2.2,0.0,None
20,2014-10-21,1.0,,10,21.7,8.9,0.0,Rain
21,2014-10-22,1.0,,10,13.9,11.1,13.2,Rain-Thunderstorm
22,2014-10-23,1.0,,9,14.4,10.6,0.5,Rain
23,2014-10-24,1.0,,9,21.1,10.6,0.0,None
24,2014-10-25,1.0,,9,21.1,5.0,0.0,None
25,2014-10-26,1.0,,9,19.4,7.2,0.0,None
26,2014-10-27,1.0,,9,20.6,3.3,0.0,None
27,2014-10-28,1.0,,11,22.8,7.2,0.0,None
28,2014-10-29,1.0,,12,21.7,6.7,1.5,Fog-Rain
29,2014-10-30,1.0,,10,15.6,3.9,0.0,Fog
30,2014-10-31,1.0,,10,12.8,2.2,0.0,None
